"TaxonID","domain","phylum","class","order","family","genus"
"OTU1140","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","unclassified_Actinomycetales","unclassified_Actinomycetales"
"OTU301","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Kingella"
"OTU1287","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Variovorax"
"OTU224","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Brevundimonas"
"OTU136","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Klebsiella"
"OTU1637","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"OTU1217","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Marvinbryantia"
"OTU191","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Microbacteriaceae","Microbacterium"
"OTU1649","Bacteria","Firmicutes","Bacilli","Bacillales","Alicyclobacillaceae","Alicyclobacillus"
"OTU497","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae 1","Clostridium sensu stricto"
"OTU228","Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Fusobacterium"
"OTU1439","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardioidaceae","Nocardioides"
"OTU166","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Lautropia"
"OTU1123","Bacteria","Proteobacteria","Gammaproteobacteria","Aeromonadales","Aeromonadaceae","Aeromonas"
"OTU223","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"OTU116","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas"
"OTU213","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Anaerostipes"
"OTU1885","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiales_Incertae Sedis XI","Anaerococcus"
"OTU796","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"OTU1828","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","unclassified_Actinomycetales","unclassified_Actinomycetales"
"OTU1762","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Aurantimonadaceae","Aureimonas"
"OTU1343","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"OTU1840","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Microbacteriaceae","Curtobacterium"
"OTU91","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiales_Incertae Sedis XI","Ezakiella"
"OTU314","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptoniphilaceae","Peptoniphilus"
"OTU1260","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"OTU1364","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Veillonellaceae","Selenomonas"
"OTU306","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardiaceae","Gordonia"
"OTU1925","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","unclassified_Comamonadaceae"
"OTU1051","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Paracoccus"
"OTU783","Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Leptotrichiaceae","Leptotrichia"
